de;fr;it;en;carbohydrates, available;energy;fat;fatty saturated;fiber;proteins;salt;sodium;sugars;imageUrl
Agar;Agar;Agar;Agar;0;160;0;;74,1;2,4;;130;;https://upload.wikimedia.org/wikipedia/commons/3/32/YPED_agar_plate.jpg
Agavensirup;Sirop d'agave;Sciroppo di agave;Agave syrup;73;295;0;;0;0,2;;;;https://upload.wikimedia.org/wikipedia/commons/6/61/Concentrado_de_Agave.jpg
Älplermagronen, zubereitet;Macaronis de l'alpage, préparés;Maccheroni dell'alpigiano, preparati;Macaroni from the alps, prepared;19;185;9;5,3;1,7;6,1;6,7;440;1,4;https://upload.wikimedia.org/wikipedia/commons/3/30/Spaghetti_carbonara.jpg
Amaretti (Mandelgebäck);Amaretti (biscuits aux amandes);Amaretti (biscotti alle mandorle);Amaretti (Almond cookie);76;455;12;0,9;3,2;7,6;2;36;75,7;https://upload.wikimedia.org/wikipedia/commons/9/97/Ricciarelli_from_Siena-2.jpg
Ananas, gezuckert (Konserve);Ananas, sucré, conserve;Ananas, zuccherato, conserva;Pineapple, sweetened, canned;20;90;0;0;1,3;0,4;0;1,8;20,2;https://upload.wikimedia.org/wikipedia/commons/5/5a/Oranges_and_orange_juice.jpg
Ananas, roh;Ananas, cru;Ananas, crudo;Pineapple, fresh;11;55;0;0;1,4;0,4;1,4;2;11,3;https://cdn.pixabay.com/photo/2016/01/19/17/18/pineapple-1149631_960_720.jpg
Ananas, ungezuckert (Konserve);Ananas, non sucré , conserve;Ananas, non zuccherato, conserva;Pineapple, unsweetened, canned;11;55;0;0;1,4;0,4;0;2;11,3;https://upload.wikimedia.org/wikipedia/commons/5/5a/Oranges_and_orange_juice.jpg
Apfel, gedünstet, abgetropft (ohne Zugabe von Zucker);Pomme, cuite,  égouttée (sans adjonction de sucre);Mele, cotte, sgocciolate (senza aggiunta di zucchero);Apple, stewed, drained (without addition of sugar);15;75;0;0,1;2,8;0,4;1;5,3;15,3;https://c1.staticflickr.com/1/103/303124638_df8caeeefe.jpg
Apfel, geschält, getrocknet;Pomme, pelée, sechée;Mele, sbucciate, secche;Apple, peeled, dried;63;295;2;0,5;9,2;1,5;10;15;60;https://upload.wikimedia.org/wikipedia/commons/b/bc/Apple_peal.jpg
Apfel, roh;Pomme, crue;Mela, cruda;Apple, fresh;12;55;0;0,1;2,1;0,3;0,8;4;11,6;https://cdn.pixabay.com/photo/2016/09/20/07/25/food-1681977_960_720.png
Apfelkuchen, gebacken (mit Blätterteig);Tarte aux pommes, cuite au four (pâte feuilletée);Torta di mele, cotta nel forno (pasta sfoglia);Apple pie, baked (with puff pastry);17;145;7;3,9;1,7;2,3;3;94;9,5;https://upload.wikimedia.org/wikipedia/commons/2/2d/Making_Apple_pie_with_puff_pastry_1.jpg
Apfelkuchen, gebacken (mit Kuchenteig);Tarte aux pommes, cuite au four (pâte à gateau);Torta di mele, cotta nel forno (pasta per torta);Apple pie, baked (with cake dough);19;135;5;2,6;1,8;2,7;3,1;100;9,5;http://maxpixel.freegreatpicture.com/static/photo/1x/Food-Homemade-Dessert-Cake-Baked-Pie-Apple-Pie-579098.jpg
Apfelmus, gezuckert (Konserve);Purée de pommes, sucrée, conserve;Mele, purea, zuccherata, conserva;Applesauce, sweetened, canned;21;90;0;0,1;1,9;0,3;0,7;3,6;20,4;https://cdn.pixabay.com/photo/2014/11/24/21/56/apple-sauce-544676_960_720.jpg
Apfelmus, ungezuckert (Konserve);Purée de pommes, non sucrée, conserve;Mele, purea, non zuccherata, conserva;Applesauce, unsweetened, canned;12;55;0;0,1;2,1;0,3;0,8;4;11,6;https://cdn.pixabay.com/photo/2014/11/24/21/56/apple-sauce-544676_960_720.jpg
Apfelsaft;Jus de pomme;Succo di mele;Apple juice;11;45;0;0;0;0,1;2;2,3;10,3;https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Apple_juice_with_3apples-JD.jpg/1024px-Apple_juice_with_3apples-JD.jpg
Apfelwein, 4 vol%;Cidre de pomme, 4 vol%;Sidro di mele, 4 vol%;Cider, 4 vol%;3;35;0;0;0;0;10;4;2,5;https://upload.wikimedia.org/wikipedia/en/1/13/K_cider_US.jpg
Apfelwein, 6.2 vol%;Cidre de pomme, 6.2 vol%;Sidro di mele, 6.2 vol%;Cider, 6.2 vol%;7;65;0;0;0;0;10;2;7,3;https://upload.wikimedia.org/wikipedia/commons/a/a4/Pressoir_epi.jpg
Appenzeller, viertelfett;Appenzeller, quart-gras;Formaggio Appenzeller, un quarto grasso;Appenzeller, at least 15% fidm;0;240;11;6,8;0;33,8;35;810;0;
Appenzeller, vollfett;Appenzeller, gras;Formaggio Appenzeller, grasso;Appenzeller, at least 45% fidm;0;390;32;19;0;24,8;8,4;620;0;
