de;fr;it;en;carbohydrates, available;energy;fat;fatty saturated;fiber;proteins;salt;sodium;sugars
Agar;Agar;Agar;Agar;0;160;0;;74,1;2,4;;130;
Agavensirup;Sirop d'agave;Sciroppo di agave;Agave syrup;73;295;0;;0;0,2;;;
Älplermagronen, zubereitet;Macaronis de l'alpage, préparés;Maccheroni dell'alpigiano, preparati;Macaroni from the alps, prepared;19;185;9;5,3;1,7;6,1;6,7;440;1,4
Amaretti (Mandelgebäck);Amaretti (biscuits aux amandes);Amaretti (biscotti alle mandorle);Amaretti (Almond cookie);76;455;12;0,9;3,2;7,6;2;36;75,7
Ananas, gezuckert (Konserve);Ananas, sucré, conserve;Ananas, zuccherato, conserva;Pineapple, sweetened, canned;20;90;0;0;1,3;0,4;0;1,8;20,2
Ananas, roh;Ananas, cru;Ananas, crudo;Pineapple, fresh;11;55;0;0;1,4;0,4;1,4;2;11,3
Ananas, ungezuckert (Konserve);Ananas, non sucré , conserve;Ananas, non zuccherato, conserva;Pineapple, unsweetened, canned;11;55;0;0;1,4;0,4;0;2;11,3
Apfel, gedünstet, abgetropft (ohne Zugabe von Zucker);Pomme, cuite,  égouttée (sans adjonction de sucre);Mele, cotte, sgocciolate (senza aggiunta di zucchero);Apple, stewed, drained (without addition of sugar);15;75;0;0,1;2,8;0,4;1;5,3;15,3
Apfel, geschält, getrocknet;Pomme, pelée, sechée;Mele, sbucciate, secche;Apple, peeled, dried;63;295;2;0,5;9,2;1,5;10;15;60
Apfel, roh;Pomme, crue;Mela, cruda;Apple, fresh;12;55;0;0,1;2,1;0,3;0,8;4;11,6
Apfelkuchen, gebacken (mit Blätterteig);Tarte aux pommes, cuite au four (pâte feuilletée);Torta di mele, cotta nel forno (pasta sfoglia);Apple pie, baked (with puff pastry);17;145;7;3,9;1,7;2,3;3;94;9,5
Apfelkuchen, gebacken (mit Kuchenteig);Tarte aux pommes, cuite au four (pâte à gateau);Torta di mele, cotta nel forno (pasta per torta);Apple pie, baked (with cake dough);19;135;5;2,6;1,8;2,7;3,1;100;9,5
Apfelmus, gezuckert (Konserve);Purée de pommes, sucrée, conserve;Mele, purea, zuccherata, conserva;Applesauce, sweetened, canned;21;90;0;0,1;1,9;0,3;0,7;3,6;20,4
Apfelmus, ungezuckert (Konserve);Purée de pommes, non sucrée, conserve;Mele, purea, non zuccherata, conserva;Applesauce, unsweetened, canned;12;55;0;0,1;2,1;0,3;0,8;4;11,6
Apfelsaft;Jus de pomme;Succo di mele;Apple juice;11;45;0;0;0;0,1;2;2,3;10,3
Apfelwein, 4 vol%;Cidre de pomme, 4 vol%;Sidro di mele, 4 vol%;Cider, 4 vol%;3;35;0;0;0;0;10;4;2,5
Apfelwein, 6.2 vol%;Cidre de pomme, 6.2 vol%;Sidro di mele, 6.2 vol%;Cider, 6.2 vol%;7;65;0;0;0;0;10;2;7,3
Appenzeller, viertelfett;Appenzeller, quart-gras;Formaggio Appenzeller, un quarto grasso;Appenzeller, at least 15% fidm;0;240;11;6,8;0;33,8;35;810;0
Appenzeller, vollfett;Appenzeller, gras;Formaggio Appenzeller, grasso;Appenzeller, at least 45% fidm;0;390;32;19;0;24,8;8,4;620;0
Aprikose, gedünstet, abgetropft (ohne Zugabe von Zucker);Abricot, cuit,  égoutté (sans adjonction de sucre);Albicocche, cotte, sgocciolate (senza aggiunta di zucchero);Apricot, stewed, drained (without addition of sugar) ;13;60;0;0;2,6;1;0,6;2,5;12,5
Aprikose, getrocknet;Abricot, sec;Albicocche, secche;Apricot, dried;48;275;1;0;17,7;5;2,7;11;43,3
Aprikose, gezuckert (Konserve);Abricot, sucré, conserve;Albicocche, zuccherate, conserva;Apricot, sweetened, canned;19;85;0;0;1,9;0,7;0,4;1,8;19
Aprikose, roh;Abricot, cru;Albicocca, cruda;Apricot, raw;10;50;0;0;2,1;0,8;0,5;2;10
Aprikose, ungezuckert (Konserve);Abricot, non sucré, conserve;Albicocche, non zuccherate, conserva;Apricot, unsweetened, canned;10;50;0;0;2,1;0,8;0,5;2;10
Aprikosenkuchen, gebacken (mit Blätterteig);Tarte aux abricots, cuite au four (pâte feuilletée);Torta d'albicocca, cotta nel forno (pasta sfoglia);Apricot pie, baked (with puff pastry);15;140;7;3,8;1,7;2,6;2,8;93;8,4
Aprikosenkuchen, gebacken (mit Kuchenteig);Tarte aux abricots, cuite au four (pâte à gateau);Torta di albicocca, cotta nel forno (pasta per torta);Apricot pie, baked (with cake dough);18;130;5;2,6;1,8;3;2,9;100;8,4
Aubergine, gedünstet (ohne Zugabe von Fett und Salz);Aubergine, à l'étuveée (sans adjonction de graisse ni de sel);Melanzane, stufate (senza aggiunta di grassi o sale);Eggplant, stewed (without addition of fat and salt);4;30;0;0;3;1,2;0,2;3,8;3,5
Aubergine, roh;Aubergine, crue;Melanzana, cruda;Eggplant, raw;3;25;0;0;2,4;1;0,2;3;2,8
